prodgroup3,dlcp,sdd_sequence,operation,wip,yield,shipout,commit1,commit2,qtg1,qtg2,qps1,qps2,stg1,stg2
ARLR816L,FF,470,6970,33.425,0.99,127.468,262.311,268.669,114.477,385.86,14.677,17.7,7.8,21.8
ARLR816L,FF,480,6197,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,490,8833,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,500,6511,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,510,7899,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,520,7295,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,530,7297,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,540,7777,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,550,6274,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,560,6275,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,570,8834,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.53,17.523,7.8,21.8
ARLR816L,FF,580,6676,0.0,1.0,127.468,262.311,268.669,113.332,382.001,14.346,17.443,7.9,21.9
ARLR816L,FF,590,7300,6.84,1.0,127.468,262.311,268.669,120.172,388.841,14.479,17.437,8.3,22.3
ARLR816L,FF,600,1007,4.781,1.0,127.468,262.311,268.669,124.953,393.622,14.875,17.572,8.4,22.4
ARLR816L,FF,610,6547,0.827,1.0,127.468,262.311,268.669,125.78,394.449,14.974,17.609,8.4,22.4
ARLR816L,FF,620,8792,0.0,1.0,127.468,262.311,268.669,125.78,394.449,14.974,17.609,8.4,22.4
ARLR816L,FF,630,7333,0.0,1.0,127.468,262.311,268.669,125.78,394.449,14.974,17.609,8.4,22.4
ARLR816L,FF,640,7417,0.0,1.0,127.468,262.311,268.669,125.78,394.449,14.974,17.609,8.4,22.4
ARLR816L,FF,650,7226,1.094,1.0,127.468,262.311,268.669,126.874,395.543,14.926,17.58,8.5,22.5
ARLR816L,FF,660,7000,0.0,1.0,127.468,262.311,268.669,126.874,395.543,14.926,17.58,8.5,22.5
ARLR816L,FF,670,7472,1.109,1.0,127.468,262.311,268.669,127.983,396.652,14.882,17.551,8.6,22.6
ARLR816L,FF,680,8581,0.0,1.0,127.468,262.311,268.669,127.983,396.652,14.882,17.551,8.6,22.6
ARLR816L,FF,690,7354,0.0,1.0,127.468,262.311,268.669,127.983,396.652,14.882,17.551,8.6,22.6
ARLR816L,FF,700,7475,3.084,1.0,127.468,262.311,268.669,131.067,399.736,15.065,17.61,8.7,22.7
ARLR816L,FF,710,7345,0.0,1.0,127.468,262.311,268.669,131.067,399.736,15.065,17.61,8.7,22.7
ARLR816L,FF,720,7399,3.776,1.0,127.468,262.311,268.669,134.843,403.512,15.323,17.698,8.8,22.8
ARLS681,FF,10,1209,0.0,1.0,46.355,116.401,98.486,-66.953,36.673,-66.953,2.697,-0.4,13.6
ARLS681,FF,20,1204,38.237,1.0,46.355,116.401,98.486,-28.716,74.91,-28.716,5.428,-0.2,13.8
ARLS681,FF,30,5651,2.928,1.0,46.355,116.401,98.486,-25.788,77.838,-25.788,5.6,-0.1,13.9
ARLS681,FF,40,2004,1.465,1.0,46.355,116.401,98.486,-24.323,79.303,-24.323,5.624,0.1,14.1
ARLS681,FF,50,1225,4.408,1.0,46.355,116.401,98.486,-19.915,83.711,-19.915,5.813,0.4,14.4
ARLS681,FF,60,1987,0.0,1.0,46.355,116.401,98.486,-19.915,83.711,-19.915,5.734,0.6,14.6
ARLS681,FF,70,2135,1.469,1.0,46.355,116.401,98.486,-18.446,85.18,-18.446,5.717,0.9,14.9
ARLS681,FF,80,730,0.0,1.0,46.355,116.401,98.486,-18.446,85.18,-18.446,5.679,1.0,15.0
ARLS681,FF,90,1429,0.0,1.0,46.355,116.401,98.486,-18.446,85.18,-16.769,5.641,1.1,15.1
ARLS681,FF,100,970,2.934,1.0,46.355,116.401,98.486,-15.512,88.114,-11.08,5.722,1.4,15.4
ARLS681,FF,110,1430,1.469,1.0,46.355,116.401,98.486,-14.043,89.583,-8.777,5.743,1.6,15.6
ARLS681,FF,120,1237,0.0,1.0,46.355,116.401,98.486,-14.043,89.583,-8.26,5.706,1.7,15.7
ARLS681,FF,130,2237,0.0,1.0,46.355,116.401,98.486,-14.043,89.583,-8.26,5.706,1.7,15.7
ARLS681,FF,140,5653,0.0,1.0,46.355,116.401,98.486,-14.043,89.583,-7.391,5.634,1.9,15.9
ARLS681,FF,150,2171,0.0,1.0,46.355,116.401,98.486,-14.043,89.583,-6.383,5.53,2.2,16.2
ARLS681,FF,160,2176,2.94,1.0,46.355,116.401,98.486,-11.103,92.523,-5.047,5.711,2.2,16.2
ARLS681,FF,170,2151,0.0,1.0,46.355,116.401,98.486,-11.103,92.523,-4.626,5.642,2.4,16.4
ARLS681,FF,180,9668,0.0,1.0,46.355,116.401,98.486,-11.103,92.523,-4.441,5.607,2.5,16.5
ARLS681,FF,190,2150,0.0,1.0,46.355,116.401,98.486,-11.103,92.523,-3.829,5.475,2.9,16.9
ARLS681,FF,200,2090,23.125,1.0,46.355,116.401,98.486,12.022,115.648,3.757,6.724,3.2,17.2
ARLS681,FF,210,1264,0.0,1.0,46.355,116.401,98.486,12.022,115.648,3.643,6.685,3.3,17.3
ARLS681,FF,220,1501,0.0,1.0,46.355,116.401,98.486,12.022,115.648,3.536,6.646,3.4,17.4
ARLS681,FF,230,2977,0.0,1.0,46.355,116.401,98.486,12.022,115.648,3.536,6.646,3.4,17.4
ARLS681,FF,240,1366,4.41,1.0,46.355,116.401,98.486,16.432,120.058,4.324,6.745,3.8,17.8
