TYPE,ROUTE,SDD_SEQUENCE,OPERATION,OPERATION_DESC,ENTITY,MOR,SAMPLE_RATE,CT,SHIFT_START_WIP,GOAL_TYPE,TOTAL_GOAL,SUBCELL_INFO,PASS_WIP
UNIT,ARLS681,140,5653,JEDEC-TPR1,,67.02,100.0,1.78,0.0,IncomingWIP,5.07,,0.0
UNIT,ARLS681,150,2171,TACS2,,19.55,100.0,2.13,0.0,IncomingWIP,4.318,,0.0
UNIT,ARLS681,160,2176,TACSRWK6,,,,0.0,2.94,IncomingWIP,6.492,,0.0
UNIT,ARLS681,170,2151,JLP2ERGO1,,,,0.0,0.0,IncomingWIP,6.492,,0.0
UNIT,ARLS681,180,9668,PEVI-1T2T,,,,2.79,0.0,IncomingWIP,6.492,,0.0
UNIT,ARLS681,190,2150,ERGO2JLP1,,,,0.72,0.0,IncomingWIP,4.983,,0.0
UNIT,ARLS681,200,2090,DLAS,,10.4,100.0,21.07,4.41,LoadingPlan,10.374,,0.0
UNIT,ARLS681,210,1264,IHSAA,,,,0.0,0.0,IncomingWIP,4.983,,0.0
UNIT,ARLS681,220,1501,JEDEC-TPT1,,70.17,100.0,1.3,0.0,IncomingWIP,4.983,,0.0
UNIT,ARLS681,230,2977,HPO-HTS5,,,,0.45,0.0,IncomingWIP,4.443,,0.0
UNIT,ARLS681,240,1366,DLA-HPO,,6.98,100.0,3.7,4.403,IncomingWIP,7.0,,0.0
UNIT,ARLS681,250,2978,HPO-HTS6,,,,0.15,0.0,IncomingWIP,4.842,,0.0
UNIT,ARLS681,260,4992,JEDEC-TPT2,,63.82,100.0,1.0,0.0,IncomingWIP,4.781,,0.0
UNIT,ARLS681,270,265,2D-XRAY,,48.95,100.0,3.25,2.953,IncomingWIP,7.336,,0.0
UNIT,ARLS681,280,2172,TACS3,,19.55,100.0,2.56,4.41,IncomingWIP,9.759,,0.0
UNIT,ARLS816L,20,1204,DIETCB,,11.4,105.0,2.0,4.999,LoadingPlan,3.741,,0.0
UNIT,ARLS816L,30,5651,JEDEC-TPP1,,67.37,100.0,1.14,3.136,IncomingWIP,6.254,,0.0
UNIT,ARLS816L,40,2004,JDFLX,,74.3,100.0,1.29,3.136,IncomingWIP,8.796,,0.0
UNIT,ARLS816L,50,1225,EYUF,,15.41,100.0,4.11,1.568,IncomingWIP,7.0,,0.0
UNIT,ARLS816L,60,1253,PEM,,12.49,100.0,0.0,0.0,IncomingWIP,4.602,,0.0
UNIT,ARLS816L,70,1299,PEM-CUSP,,14.02,100.0,0.0,0.0,IncomingWIP,4.602,,0.0
UNIT,ARLS816L,80,1987,HPO-HTS1,,,,0.9,3.192,IncomingWIP,7.794,,0.0
UNIT,ARLS816L,90,2135,HPO-CURE,,13.15,100.0,1.65,0.0,IncomingWIP,7.0,,0.0
UNIT,ARLS816L,100,730,HPO-HTS2,,,,0.19,0.0,IncomingWIP,6.038,,0.0
UNIT,ARLS816L,110,1429,HTS-ST,,,,0.21,0.0,IncomingWIP,5.942,,0.0
UNIT,ARLS816L,120,970,FLI-BLUE-M,,16.08,100.0,3.09,0.0,IncomingWIP,5.838,,0.0
UNIT,ARLS816L,130,1430,HTS-US,,,,0.23,0.0,IncomingWIP,4.335,,0.0
UNIT,ARLS816L,140,1237,CSAM,,,,3.5,0.0,IncomingWIP,4.252,,0.0
UNIT,ARLS816L,150,2237,CSAM,,,,0.0,0.0,IncomingWIP,3.012,,0.0
UNIT,ARLS816L,160,5653,JEDEC-TPR1,,67.02,100.0,0.0,0.0,IncomingWIP,3.012,,0.0
UNIT,ARLS816L,170,2171,TACS2,,19.64,100.0,0.93,0.0,IncomingWIP,3.012,,0.0
UNIT,ARLS816L,180,2176,TACSRWK6,,37.68,70.0,0.0,0.0,IncomingWIP,1.945,,0.834
